Institution Name,State,City,lat,lon,display_name,geocoded
Central Alabama Community College,AL,Alexander City,32.9243416,-85.9455957,"Central Alabama Community College, Hillsdale Drive, Alexander City, Tallapoosa County, Alabama, 35010, United States of America",True
Chattahoochee Valley Community College,AL,Phenix City,32.4237871,-85.0307291,"Chattahoochee Valley Community College, College Drive, Phenix City, Russell County, Alabama, 36869, United States of America",True
Enterprise State Community College,AL,Enterprise,31.2981182,-85.8371311,"Enterprise State Community College, 600, Plaza Drive, College Heights, Enterprise, Coffee County, Alabama, 36331, United States of America",True
Coastal Alabama Community College,AL,Bay Minette,30.8520861,-87.780878,"Coastal Alabama Community College, North Driskell Avenue, Bay Minette, Baldwin County, Alabama, 36507, United States of America",True
Gadsden State Community College,AL,Gadsden,33.9902905,-85.9938681,"Gadsden State Community College (Wallace Drive Campus), College Drive, Gadsden, Etowah County, Alabama, 35902, United States of America",True
George C Wallace Community College-Dothan,AL,Dothan,31.3175843,-85.4657393,"Wallace Community College - Wallace Campus, 1141, Wallace Drive, Dothan, Dale County, Alabama, 36350, United States of America",True
George C Wallace State Community College-Hanceville,AL,Hanceville,34.0730256,-86.7851064,"Wallace State Community College, 801, Main Street, Hanceville, Cullman County, Alabama, 35077, United States of America",True
George C Wallace State Community College-Selma,AL,Selma,32.4473513,-87.0119731,"George C Wallace State Community College-Selma, Selma, AL",True
J. F. Drake State Community and Technical College,AL,Huntsville,34.74793461012935,-86.55434450444714,"J. F. Drake State Community and Technical College, Huntsville, AL",True
J F Ingram State Technical College,AL,Deatsville,32.61393141938835,-86.35738226070305,"J F Ingram State Technical College, Deatsville, AL",True
Jefferson State Community College,AL,Birmingham,33.6567289,-86.7077432,"Jefferson State Community College, Sunhill Road Northwest, Birmingham, Jefferson County, Alabama, 35215, United States of America",True
John C Calhoun State Community College,AL,Tanner,34.6508577,-86.9489086,"Calhoun Community College, 6250, US Highway 31, Limestone County, Alabama, 35671, United States of America",True
Lawson State Community College,AL,Birmingham,33.4510552,-86.8898754,"Lawson State Community College, Birmingham, AL",True
Lurleen B Wallace Community College,AL,Andalusia,31.3233648,-86.4511785,"Lurleen B. Wallace Community College, 1000, Dannelly Boulevard, Andalusia, Covington County, Alabama, 36420, United States of America",True
Northwest Shoals Community College,AL,Muscle Shoals,34.7397978,-87.677636,"Northwest-Shoals Community College, 800, George Wallace Boulevard, Muscle Shoals, Colbert County, Alabama, 35661, United States of America",True
Northeast Alabama Community College,AL,Rainsville,34.5459194,-85.9096966,"Northeast Alabama Community College, 138, West Main Street, Rainsville, DeKalb County, Alabama, 35986, United States of America",True
Reid State Technical College,AL,Evergreen,31.4628231,-86.9643444,"Reid State Technical College, 100, I 65, Evergreen, Conecuh County, Alabama, 36401, United States of America",True
Bishop State Community College,AL,Mobile,30.6947174,-88.0575253,"Bishop State Community College, 351, North Broad Street, Downtown, Mobile County Commission District 1, Mobile, Mobile County, Alabama, 36603, United States of America",True
Shelton State Community College,AL,Tuscaloosa,33.1206471,-87.5613494,"Shelton State Community College, Phoenix Drive, Tuscaloosa, Tuscaloosa County, Alabama, 35403, United States of America",True
Snead State Community College,AL,Boaz,34.2006503,-86.1691433,"Snead State Community College, 102, Elder Street, Boaz, Marshall County, Alabama, 35957, United States of America",True
H Councill Trenholm State Community College,AL,Montgomery,32.403774651594425,-86.2952570174704,"H Councill Trenholm State Community College, Montgomery, AL",True
Bevill State Community College,AL,Jasper,33.8369363,-87.2661641,"Bevill State Community College, Gamble Avenue, Frisco Quarters, Jasper, Walker County, Alabama, 35501, United States of America",True
University of Alaska Southeast,AK,Juneau,58.3923365,-134.6478123,"University of Alaska Southeast, 11066, Auke Lake Way, Juneau, Alaska, 99801, United States of America",True
Alaska Vocational Technical Center,AK,Seward,60.1074782,-149.441286,"Alaska Vocational Technical Center, 3rd Avenue, Historic Downtown, Seward, Kenai Peninsula Borough, Alaska, 99664, United States of America",True
Charter College,AK,Anchorage,61.1962668,-149.8390454,"Charter College, Sorbus Way, Woodside East, Anchorage, Alaska, 99508, United States of America",True
Eastern Arizona College,AZ,Thatcher,32.8455678,-109.7620438,"Eastern Arizona College, 615, North Stadium Avenue, Thatcher, Graham County, Arizona, 85552, United States of America",True
GateWay Community College,AZ,Phoenix,33.449924,-111.9976567,"GateWay Community College, 108, South 40th Street, Central City, Phoenix, Maricopa County, Arizona, 85034, United States of America",True
Mesa Community College,AZ,Mesa,33.3897698,-111.8702146,"Mesa Community College, 1833, West Southern Avenue, Phoenix, Maricopa County, Arizona, 85202, United States of America",True
Northland Pioneer College,AZ,Holbrook,34.9301705,-110.1419257,"Northland Pioneer College Painted Desert Campus, 2251, Navajo Boulevard, Lisitzky Subdivision, Holbrook, Navajo County, Arizona, 86025, United States of America",True
Universal Technical Institute of Arizona Inc,AZ,Avondale,33.40662826613476,-112.37887355960319,"Universal Technical Institute of Arizona Inc, Avondale, AZ",True
Yavapai College,AZ,Prescott,34.5472599,-112.4549,"Yavapai College, 1100, Whitlow Avenue, Prescott, Yavapai County, Arizona, 86303, United States of America",True
Black River Technical College,AR,Pocahontas,36.2408657,-90.95176,"Black River Technical College, 1410, Carter Lane, Pocahontas, Randolph County, Arkansas, 72455, United States of America",True
National Park College,AR,Hot Springs,34.5290712,-93.0301402,"National Park College, Hot Springs, AR",True
Arkansas State University Mid-South,AR,West Memphis,35.1457312,-90.2229291,"Arkansas State University Mid-South, 2000, West Broadway Boulevard, West Memphis, Crittenden County, Arkansas, 72301, United States of America",True
Northwest Technical Institute,AR,Springdale,36.1781481,-94.1142366,"Northwest Technical Institute, 709, South Old Missouri Road, Springdale, Washington County, Arkansas, 72764, United States of America",True
Arkansas State University Three Rivers,AR,Malvern,34.3786856,-92.8219754,"Arkansas State University Three Rivers, One, Park Drive, Malvern, Hot Spring County, Arkansas, 72104, United States of America",True
Ozarka College,AR,Melbourne,36.0540065,-91.89649,"Ozarka College, College Drive, Melbourne, Izard County, Arkansas, 72556, United States of America",True
